Vendor Code,lat,lon
V1010379,1.357107,103.8194992
V1010478,1.357107,103.8194992
V1010488,1.357107,103.8194992
V1010523,1.357107,103.8194992
V1010527,1.357107,103.8194992
V1010532,1.357107,103.8194992
V1010546,1.357107,103.8194992
V1010660,1.357107,103.8194992
V1010749,1.3819466,103.8860182
V1010752,1.357107,103.8194992
V1010756,1.357107,103.8194992
V1010809,1.357107,103.8194992
V1010823,1.357107,103.8194992
V1010833,1.357107,103.8194992
V1010867,1.357107,103.8194992
V1010982,1.357107,103.8194992
V1011124,1.357107,103.8194992
V1011160,1.357107,103.8194992
V1011172,1.357107,103.8194992
V1011208,1.357107,103.8194992
V1011241,1.357107,103.8194992
V1011258,1.357107,103.8194992
V1011261,1.357107,103.8194992
V1011303,1.2880753,103.6351344
V1011344,1.357107,103.8194992
V1011387,1.357107,103.8194992
V1011388,1.357107,103.8194992
V1011423,1.357107,103.8194992
V1011556,1.357107,103.8194992
V1011563,1.357107,103.8194992
V1011585,1.357107,103.8194992
V1011648,1.357107,103.8194992
V1011667,1.357107,103.8194992
V1011687,1.357107,103.8194992
V1011690,1.357107,103.8194992
V1011692,1.357107,103.8194992
V1011699,1.357107,103.8194992
V1011708,1.357107,103.8194992
V1011739,1.357107,103.8194992
V1011836,1.357107,103.8194992
V1011839,1.357107,103.8194992
V1011860,1.357107,103.8194992
V1012183,1.357107,103.8194992
V1012291,1.357107,103.8194992
V1012431,1.357107,103.8194992
V1012521,1.357107,103.8194992
V1012527,1.357107,103.8194992
V1012584,1.357107,103.8194992
V1012587,1.357107,103.8194992
V1012588,1.357107,103.8194992
V1012619,1.357107,103.8194992
V1012641,1.357107,103.8194992
V1012699,1.4037076,103.7940374
V1012700,1.357107,103.8194992
V1012724,1.357107,103.8194992
V1012726,1.357107,103.8194992
V1012736,1.357107,103.8194992
V1012754,1.357107,103.8194992
V1012833,1.2867939,103.8011061
V1012840,1.357107,103.8194992
V1012880,1.357107,103.8194992
V1012884,1.357107,103.8194992
V1012979,1.357107,103.8194992
V1012991,1.357107,103.8194992
V1013009,1.357107,103.8194992
V1013028,1.357107,103.8194992
V1013035,1.357107,103.8194992
V1013037,1.357107,103.8194992
V1013046,1.357107,103.8194992
V1013076,1.357107,103.8194992
V1013091,1.357107,103.8194992
V1013092,1.357107,103.8194992
V1013100,1.357107,103.8194992
V1013109,1.357107,103.8194992
V1013146,1.357107,103.8194992
V1013150,1.357107,103.8194992
V1013166,1.357107,103.8194992
V1013170,1.357107,103.8194992
V1013190,1.357107,103.8194992
V1013207,1.357107,103.8194992
V1013213,1.357107,103.8194992
V1013233,1.357107,103.8194992
V1013242,1.357107,103.8194992
V1013277,1.357107,103.8194992
V1013279,1.357107,103.8194992
V1013324,1.357107,103.8194992
V1013334,1.357107,103.8194992
V1013346,1.357107,103.8194992
V1013347,1.357107,103.8194992
V1013401,1.357107,103.8194992
V1013413,1.357107,103.8194992
V1013524,1.357107,103.8194992
V1013529,1.357107,103.8194992
V1013551,1.357107,103.8194992
V1013558,1.357107,103.8194992
V1013570,1.357107,103.8194992
V1013572,1.357107,103.8194992
V1013576,1.357107,103.8194992
V1013579,1.357107,103.8194992
V1013601,1.357107,103.8194992
V1013620,1.357107,103.8194992
V1013628,1.357107,103.8194992
V1013645,1.357107,103.8194992
V1013699,1.357107,103.8194992
V1013716,1.357107,103.8194992
V1013717,1.357107,103.8194992
V1013733,1.357107,103.8194992
V1013734,1.357107,103.8194992
V1013750,1.357107,103.8194992
V1013752,1.357107,103.8194992
V1013769,1.357107,103.8194992
V1013775,1.357107,103.8194992
V1013778,1.357107,103.8194992
V1013928,1.357107,103.8194992
V1013932,1.357107,103.8194992
V1013947,1.357107,103.8194992
V1013968,1.357107,103.8194992
V1013992,1.357107,103.8194992
V1014008,1.357107,103.8194992
V1014016,1.357107,103.8194992
V1014021,1.357107,103.8194992
V1014038,1.357107,103.8194992
V1014069,1.357107,103.8194992
V1014107,1.357107,103.8194992
V1014108,1.357107,103.8194992
V1014123,1.357107,103.8194992
V1014148,1.357107,103.8194992
V1014149,1.357107,103.8194992
V1014159,1.357107,103.8194992
V1014162,1.357107,103.8194992
V1014167,1.357107,103.8194992
V1014175,1.357107,103.8194992
V1014184,1.357107,103.8194992
V1014197,1.357107,103.8194992
V1014207,1.357107,103.8194992
V1014230,26.5698667,-81.9600466
V1014232,1.357107,103.8194992
V1014236,1.357107,103.8194992
V1014245,1.357107,103.8194992
V1014255,1.357107,103.8194992
V1014264,1.357107,103.8194992
V1014269,1.357107,103.8194992
V1014275,1.357107,103.8194992
V1014279,1.357107,103.8194992
V1014281,1.357107,103.8194992
V1014282,1.357107,103.8194992
V1014287,1.357107,103.8194992
V1014288,1.357107,103.8194992
V1014289,1.357107,103.8194992
V1014292,1.357107,103.8194992
V1014293,1.357107,103.8194992
V1014303,1.357107,103.8194992
V1014304,1.357107,103.8194992
V1014315,1.357107,103.8194992
V1014317,1.357107,103.8194992
V1014321,1.357107,103.8194992
V1014337,1.357107,103.8194992
V1014360,1.357107,103.8194992
V1014390,1.357107,103.8194992
V1014398,1.357107,103.8194992
V1014421,1.357107,103.8194992
V1014424,1.357107,103.8194992
V1014440,1.357107,103.8194992
V1014445,1.357107,103.8194992
V1014450,1.357107,103.8194992
V1014457,1.357107,103.8194992
V1014459,1.357107,103.8194992
V1014477,1.357107,103.8194992
V1014480,1.357107,103.8194992
V1014522,1.357107,103.8194992
V1014523,1.357107,103.8194992
V1014524,1.357107,103.8194992
V1014529,1.357107,103.8194992
V1014530,1.357107,103.8194992
V1014532,1.357107,103.8194992
V1014546,1.323965,103.653073
V1014558,1.357107,103.8194992
V1014566,1.357107,103.8194992
V1014568,1.357107,103.8194992
V1014577,1.357107,103.8194992
V1014579,1.357107,103.8194992
V1014587,1.357107,103.8194992
V1014589,1.357107,103.8194992
V1014591,1.357107,103.8194992
V1014597,1.357107,103.8194992
V1014598,1.357107,103.8194992
V1014605,1.357107,103.8194992
V1014608,1.357107,103.8194992
V1014612,1.357107,103.8194992
V1014613,1.357107,103.8194992
V1014616,1.357107,103.8194992
